# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1751         	((6.790446e-07 1.103463e-05 2.442436e-25) (1.825886e-06 5.066707e-07 -5.787912e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.655195e-06 1.018567e-07 -2.487047e-06) (-7.600061e-08 2.738829e-07 -1.717380e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1752         	((6.842519e-07 1.108267e-05 2.457090e-25) (1.825728e-06 5.066389e-07 -5.820235e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.662400e-06 1.026378e-07 -2.481373e-06) (-7.599584e-08 2.738592e-07 -1.717306e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1753         	((6.883751e-07 1.112709e-05 2.469762e-25) (1.825572e-06 5.066095e-07 -5.849067e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.669063e-06 1.032563e-07 -2.476657e-06) (-7.599143e-08 2.738359e-07 -1.717233e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1754         	((6.918773e-07 1.116890e-05 2.481409e-25) (1.825419e-06 5.065817e-07 -5.874195e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.675335e-06 1.037816e-07 -2.472466e-06) (-7.598726e-08 2.738128e-07 -1.717160e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1755         	((6.954722e-07 1.121155e-05 2.493635e-25) (1.825268e-06 5.065556e-07 -5.897931e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.681733e-06 1.043208e-07 -2.468112e-06) (-7.598334e-08 2.737901e-07 -1.717088e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1756         	((6.998793e-07 1.125964e-05 2.508210e-25) (1.825119e-06 5.065323e-07 -5.925093e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.688946e-06 1.049819e-07 -2.463013e-06) (-7.597985e-08 2.737679e-07 -1.717012e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1757         	((7.058294e-07 1.132060e-05 2.527511e-25) (1.824974e-06 5.065138e-07 -5.964008e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.698090e-06 1.058744e-07 -2.456628e-06) (-7.597708e-08 2.737460e-07 -1.716935e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1758         	((7.135204e-07 1.139994e-05 2.553014e-25) (1.824828e-06 5.065015e-07 -6.023015e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.709991e-06 1.070281e-07 -2.449055e-06) (-7.597523e-08 2.737243e-07 -1.716859e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1759         	((7.224066e-07 1.149844e-05 2.584613e-25) (1.824681e-06 5.064943e-07 -6.106437e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.724766e-06 1.083610e-07 -2.441036e-06) (-7.597414e-08 2.737022e-07 -1.716796e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1760         	((7.311600e-07 1.160779e-05 2.619479e-25) (1.824528e-06 5.064879e-07 -6.208526e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.741169e-06 1.096740e-07 -2.433872e-06) (-7.597319e-08 2.736793e-07 -1.716758e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1761         	((7.378757e-07 1.171037e-05 2.651823e-25) (1.824367e-06 5.064765e-07 -6.311858e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.756555e-06 1.106814e-07 -2.429048e-06) (-7.597147e-08 2.736551e-07 -1.716750e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1762         	((7.415274e-07 1.179095e-05 2.676974e-25) (1.824196e-06 5.064551e-07 -6.397972e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768643e-06 1.112291e-07 -2.427130e-06) (-7.596826e-08 2.736294e-07 -1.716773e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1763         	((7.421931e-07 1.184229e-05 2.692795e-25) (1.824018e-06 5.064237e-07 -6.455013e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.776343e-06 1.113290e-07 -2.427705e-06) (-7.596356e-08 2.736026e-07 -1.716814e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1764         	((7.404951e-07 1.186703e-05 2.699920e-25) (1.823835e-06 5.063881e-07 -6.483009e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.780054e-06 1.110743e-07 -2.430097e-06) (-7.595821e-08 2.735752e-07 -1.716855e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1765         	((7.368950e-07 1.186925e-05 2.699063e-25) (1.823652e-06 5.063564e-07 -6.485659e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.780388e-06 1.105342e-07 -2.434007e-06) (-7.595346e-08 2.735479e-07 -1.716881e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1766         	((7.317727e-07 1.185406e-05 2.691241e-25) (1.823474e-06 5.063347e-07 -6.468705e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.778109e-06 1.097659e-07 -2.439325e-06) (-7.595021e-08 2.735211e-07 -1.716883e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1767         	((7.250762e-07 1.182474e-05 2.677444e-25) (1.823302e-06 5.063236e-07 -6.438557e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.773711e-06 1.087614e-07 -2.446301e-06) (-7.594855e-08 2.734953e-07 -1.716866e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1768         	((7.161855e-07 1.177872e-05 2.656884e-25) (1.823138e-06 5.063187e-07 -6.394351e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.766808e-06 1.074278e-07 -2.455649e-06) (-7.594780e-08 2.734707e-07 -1.716834e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1769         	((7.054128e-07 1.171326e-05 2.630019e-25) (1.822982e-06 5.063129e-07 -6.333277e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.756989e-06 1.058119e-07 -2.466952e-06) (-7.594693e-08 2.734472e-07 -1.716796e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1770         	((6.883241e-07 1.158383e-05 2.582414e-25) (1.822834e-06 5.063012e-07 -6.209358e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.737575e-06 1.032486e-07 -2.484062e-06) (-7.594518e-08 2.734251e-07 -1.716748e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1771         	((6.831756e-07 1.153284e-05 2.566100e-25) (1.822695e-06 5.062865e-07 -6.157963e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.729926e-06 1.024763e-07 -2.488956e-06) (-7.594297e-08 2.734043e-07 -1.716700e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1772         	((6.792175e-07 1.149355e-05 2.554088e-25) (1.822558e-06 5.062767e-07 -6.125569e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.724032e-06 1.018826e-07 -2.492822e-06) (-7.594150e-08 2.733837e-07 -1.716645e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1773         	((6.713858e-07 1.144453e-05 2.537562e-25) (1.822418e-06 5.062717e-07 -6.099530e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.716680e-06 1.007079e-07 -2.500658e-06) (-7.594075e-08 2.733627e-07 -1.716595e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1774         	((6.656230e-07 1.142163e-05 2.528836e-25) (1.822271e-06 5.062676e-07 -6.092016e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.713244e-06 9.984345e-08 -2.506579e-06) (-7.594014e-08 2.733407e-07 -1.716571e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1775         	((6.635492e-07 1.142071e-05 2.526911e-25) (1.822119e-06 5.062614e-07 -6.092925e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.713107e-06 9.953238e-08 -2.508855e-06) (-7.593921e-08 2.733178e-07 -1.716569e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1776         	((6.604045e-07 1.141387e-05 2.521459e-25) (1.821962e-06 5.062509e-07 -6.093733e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.712081e-06 9.906067e-08 -2.513010e-06) (-7.593763e-08 2.732944e-07 -1.716575e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1777         	((6.560159e-07 1.138621e-05 2.508854e-25) (1.821803e-06 5.062323e-07 -6.075888e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.707931e-06 9.840238e-08 -2.518297e-06) (-7.593485e-08 2.732705e-07 -1.716587e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1778         	((6.487475e-07 1.132715e-05 2.485960e-25) (1.821644e-06 5.062082e-07 -6.028042e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.699072e-06 9.731212e-08 -2.525358e-06) (-7.593123e-08 2.732466e-07 -1.716600e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1779         	((6.389811e-07 1.124645e-05 2.456297e-25) (1.821485e-06 5.061842e-07 -5.957334e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.686967e-06 9.584717e-08 -2.533367e-06) (-7.592762e-08 2.732228e-07 -1.716609e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1780         	((6.298472e-07 1.117269e-05 2.429677e-25) (1.821328e-06 5.061665e-07 -5.889249e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.675904e-06 9.447708e-08 -2.540128e-06) (-7.592498e-08 2.731992e-07 -1.716606e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1781         	((6.232975e-07 1.112144e-05 2.410980e-25) (1.821172e-06 5.061590e-07 -5.840541e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.668217e-06 9.349462e-08 -2.544892e-06) (-7.592385e-08 2.731757e-07 -1.716583e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1782         	((6.194166e-07 1.109077e-05 2.399408e-25) (1.821015e-06 5.061598e-07 -5.813423e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.663615e-06 9.291248e-08 -2.548162e-06) (-7.592396e-08 2.731522e-07 -1.716538e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1783         	((6.175380e-07 1.107062e-05 2.392099e-25) (1.820858e-06 5.061624e-07 -5.799800e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.660593e-06 9.263070e-08 -2.550626e-06) (-7.592436e-08 2.731286e-07 -1.716486e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1784         	((6.164163e-07 1.104782e-05 2.385227e-25) (1.820699e-06 5.061609e-07 -5.787843e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.657173e-06 9.246245e-08 -2.552883e-06) (-7.592414e-08 2.731048e-07 -1.716437e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1785         	((6.157272e-07 1.102789e-05 2.379643e-25) (1.820539e-06 5.061508e-07 -5.775510e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.654184e-06 9.235908e-08 -2.553556e-06) (-7.592262e-08 2.730808e-07 -1.716417e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1786         	((6.148023e-07 1.101153e-05 2.374505e-25) (1.820377e-06 5.061356e-07 -5.761318e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.651730e-06 9.222034e-08 -2.553212e-06) (-7.592033e-08 2.730565e-07 -1.716423e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1787         	((6.127444e-07 1.099030e-05 2.366519e-25) (1.820214e-06 5.061202e-07 -5.742027e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.648546e-06 9.191166e-08 -2.553554e-06) (-7.591802e-08 2.730320e-07 -1.716438e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1788         	((6.083846e-07 1.094677e-05 2.350452e-25) (1.820050e-06 5.061054e-07 -5.702242e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.642016e-06 9.125769e-08 -2.556492e-06) (-7.591581e-08 2.730076e-07 -1.716453e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1789         	((6.073439e-07 1.092632e-05 2.343359e-25) (1.819889e-06 5.060914e-07 -5.676036e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.638947e-06 9.110158e-08 -2.556316e-06) (-7.591371e-08 2.729833e-07 -1.716467e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1790         	((6.085245e-07 1.091668e-05 2.341030e-25) (1.819729e-06 5.060823e-07 -5.658597e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.637502e-06 9.127868e-08 -2.554731e-06) (-7.591235e-08 2.729594e-07 -1.716464e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1791         	((6.119793e-07 1.092273e-05 2.344642e-25) (1.819571e-06 5.060787e-07 -5.656918e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.638410e-06 9.179689e-08 -2.551553e-06) (-7.591181e-08 2.729356e-07 -1.716443e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1792         	((6.168393e-07 1.094325e-05 2.353276e-25) (1.819413e-06 5.060793e-07 -5.670917e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.641488e-06 9.252589e-08 -2.547165e-06) (-7.591189e-08 2.729120e-07 -1.716416e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1793         	((6.220676e-07 1.097216e-05 2.364718e-25) (1.819254e-06 5.060807e-07 -5.693822e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.645823e-06 9.331014e-08 -2.542159e-06) (-7.591211e-08 2.728882e-07 -1.716397e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1794         	((6.268440e-07 1.100116e-05 2.376139e-25) (1.819094e-06 5.060794e-07 -5.716439e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.650174e-06 9.402659e-08 -2.537161e-06) (-7.591191e-08 2.728641e-07 -1.716395e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1795         	((6.311687e-07 1.102715e-05 2.386867e-25) (1.818932e-06 5.060736e-07 -5.733722e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.654072e-06 9.467530e-08 -2.532807e-06) (-7.591104e-08 2.728398e-07 -1.716413e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1796         	((6.357388e-07 1.105300e-05 2.397365e-25) (1.818769e-06 5.060659e-07 -5.747664e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.657951e-06 9.536082e-08 -2.527687e-06) (-7.590988e-08 2.728154e-07 -1.716438e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1797         	((6.409471e-07 1.108551e-05 2.407756e-25) (1.818607e-06 5.060584e-07 -5.766591e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.662826e-06 9.614207e-08 -2.520760e-06) (-7.590875e-08 2.727911e-07 -1.716467e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1798         	((6.447073e-07 1.111057e-05 2.416237e-25) (1.818447e-06 5.060514e-07 -5.783142e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.666585e-06 9.670610e-08 -2.516898e-06) (-7.590771e-08 2.727670e-07 -1.716503e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1799         	((6.480347e-07 1.113536e-05 2.424204e-25) (1.818288e-06 5.060462e-07 -5.797619e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.670305e-06 9.720520e-08 -2.513482e-06) (-7.590694e-08 2.727431e-07 -1.716542e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1800         	((6.516527e-07 1.116316e-05 2.433293e-25) (1.818130e-06 5.060433e-07 -5.809023e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.674474e-06 9.774790e-08 -2.509531e-06) (-7.590649e-08 2.727196e-07 -1.716579e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1801         	((6.566380e-07 1.119997e-05 2.445933e-25) (1.817976e-06 5.060435e-07 -5.822586e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.679995e-06 9.849570e-08 -2.504022e-06) (-7.590653e-08 2.726964e-07 -1.716609e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1802         	((6.634886e-07 1.125069e-05 2.463532e-25) (1.817825e-06 5.060485e-07 -5.847887e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.687603e-06 9.952329e-08 -2.496759e-06) (-7.590728e-08 2.726738e-07 -1.716629e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1803         	((6.721657e-07 1.131911e-05 2.486824e-25) (1.817676e-06 5.060594e-07 -5.893230e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.697866e-06 1.008249e-07 -2.488040e-06) (-7.590891e-08 2.726515e-07 -1.716643e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1804         	((6.818929e-07 1.140472e-05 2.515066e-25) (1.817528e-06 5.060755e-07 -5.961234e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.710708e-06 1.022839e-07 -2.478773e-06) (-7.591133e-08 2.726293e-07 -1.716664e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1805         	((6.918824e-07 1.150540e-05 2.547446e-25) (1.817378e-06 5.060937e-07 -6.049802e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.725810e-06 1.037824e-07 -2.469745e-06) (-7.591405e-08 2.726067e-07 -1.716708e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1806         	((7.012068e-07 1.161271e-05 2.581677e-25) (1.817223e-06 5.061088e-07 -6.148762e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.741907e-06 1.051810e-07 -2.461760e-06) (-7.591632e-08 2.725835e-07 -1.716782e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1807         	((7.091363e-07 1.171459e-05 2.614434e-25) (1.817062e-06 5.061165e-07 -6.244151e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.757188e-06 1.063704e-07 -2.455348e-06) (-7.591748e-08 2.725592e-07 -1.716887e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1808         	((7.155335e-07 1.180298e-05 2.643408e-25) (1.816894e-06 5.061158e-07 -6.327347e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.770447e-06 1.073300e-07 -2.450558e-06) (-7.591737e-08 2.725340e-07 -1.717011e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1809         	((7.200290e-07 1.187090e-05 2.665972e-25) (1.816721e-06 5.061101e-07 -6.392708e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.780636e-06 1.080044e-07 -2.447608e-06) (-7.591652e-08 2.725081e-07 -1.717141e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1810         	((7.223174e-07 1.191896e-05 2.681578e-25) (1.816545e-06 5.061054e-07 -6.442487e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.787844e-06 1.083476e-07 -2.446699e-06) (-7.591582e-08 2.724817e-07 -1.717267e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1811         	((7.216158e-07 1.194359e-05 2.688365e-25) (1.816367e-06 5.061062e-07 -6.473171e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.791538e-06 1.082424e-07 -2.448364e-06) (-7.591593e-08 2.724550e-07 -1.717385e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1812         	((7.172933e-07 1.194435e-05 2.685765e-25) (1.816188e-06 5.061122e-07 -6.483062e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.791653e-06 1.075940e-07 -2.453142e-06) (-7.591682e-08 2.724282e-07 -1.717499e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1813         	((7.086712e-07 1.191529e-05 2.671900e-25) (1.816009e-06 5.061197e-07 -6.464101e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.787294e-06 1.063007e-07 -2.461411e-06) (-7.591796e-08 2.724014e-07 -1.717606e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1814         	((6.970273e-07 1.185762e-05 2.648140e-25) (1.815834e-06 5.061254e-07 -6.412768e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.778642e-06 1.045541e-07 -2.471850e-06) (-7.591882e-08 2.723751e-07 -1.717699e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1815         	((6.848006e-07 1.178202e-05 2.618907e-25) (1.815665e-06 5.061307e-07 -6.337740e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.767303e-06 1.027201e-07 -2.482578e-06) (-7.591961e-08 2.723497e-07 -1.717768e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1816         	((6.744280e-07 1.170338e-05 2.589904e-25) (1.815506e-06 5.061403e-07 -6.255491e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.755508e-06 1.011642e-07 -2.492045e-06) (-7.592105e-08 2.723259e-07 -1.717807e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1817         	((6.674016e-07 1.163490e-05 2.565883e-25) (1.815357e-06 5.061575e-07 -6.182952e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.745234e-06 1.001102e-07 -2.499478e-06) (-7.592362e-08 2.723036e-07 -1.717829e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1818         	((6.604495e-07 1.154606e-05 2.536654e-25) (1.815220e-06 5.061801e-07 -6.092213e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.731910e-06 9.906743e-08 -2.508887e-06) (-7.592702e-08 2.722830e-07 -1.717847e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1819         	((6.602810e-07 1.152565e-05 2.531661e-25) (1.815089e-06 5.062044e-07 -6.073258e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.728847e-06 9.904215e-08 -2.510449e-06) (-7.593066e-08 2.722634e-07 -1.717884e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1820         	((6.600670e-07 1.151953e-05 2.531061e-25) (1.814957e-06 5.062269e-07 -6.078707e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.727930e-06 9.901005e-08 -2.512057e-06) (-7.593403e-08 2.722436e-07 -1.717943e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1821         	((6.563697e-07 1.151739e-05 2.531467e-25) (1.814815e-06 5.062420e-07 -6.106660e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.727608e-06 9.845546e-08 -2.516775e-06) (-7.593630e-08 2.722223e-07 -1.718025e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1822         	((6.516786e-07 1.151567e-05 2.530442e-25) (1.814660e-06 5.062478e-07 -6.125864e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.727351e-06 9.775179e-08 -2.521397e-06) (-7.593717e-08 2.721990e-07 -1.718132e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1823         	((6.489196e-07 1.150963e-05 2.527072e-25) (1.814497e-06 5.062492e-07 -6.121484e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.726445e-06 9.733794e-08 -2.523720e-06) (-7.593737e-08 2.721745e-07 -1.718248e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1824         	((6.434377e-07 1.146935e-05 2.510909e-25) (1.814331e-06 5.062510e-07 -6.085829e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.720403e-06 9.651566e-08 -2.529010e-06) (-7.593764e-08 2.721496e-07 -1.718353e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1825         	((6.348771e-07 1.138025e-05 2.477284e-25) (1.814169e-06 5.062525e-07 -5.996452e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.707037e-06 9.523156e-08 -2.537444e-06) (-7.593787e-08 2.721253e-07 -1.718448e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1826         	((6.302099e-07 1.131920e-05 2.455840e-25) (1.814014e-06 5.062567e-07 -5.938069e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.697880e-06 9.453148e-08 -2.541557e-06) (-7.593851e-08 2.721021e-07 -1.718534e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1827         	((6.259898e-07 1.127670e-05 2.441255e-25) (1.813861e-06 5.062674e-07 -5.901547e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.691504e-06 9.389847e-08 -2.545119e-06) (-7.594012e-08 2.720792e-07 -1.718607e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1828         	((6.212547e-07 1.124824e-05 2.430782e-25) (1.813708e-06 5.062855e-07 -5.882465e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.687235e-06 9.318820e-08 -2.549182e-06) (-7.594283e-08 2.720562e-07 -1.718662e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1829         	((6.165897e-07 1.122605e-05 2.422078e-25) (1.813553e-06 5.063072e-07 -5.870846e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.683908e-06 9.248845e-08 -2.553154e-06) (-7.594608e-08 2.720329e-07 -1.718704e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1830         	((6.128976e-07 1.120210e-05 2.413447e-25) (1.813394e-06 5.063267e-07 -5.856482e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.680315e-06 9.193464e-08 -2.556204e-06) (-7.594900e-08 2.720091e-07 -1.718747e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1831         	((6.104858e-07 1.117128e-05 2.403698e-25) (1.813235e-06 5.063395e-07 -5.833091e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.675692e-06 9.157287e-08 -2.558194e-06) (-7.595093e-08 2.719852e-07 -1.718802e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1832         	((6.089355e-07 1.113399e-05 2.392558e-25) (1.813075e-06 5.063456e-07 -5.800654e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.670098e-06 9.134033e-08 -2.559576e-06) (-7.595183e-08 2.719612e-07 -1.718875e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1833         	((6.074576e-07 1.109485e-05 2.380622e-25) (1.812917e-06 5.063484e-07 -5.763792e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.664228e-06 9.111864e-08 -2.560878e-06) (-7.595225e-08 2.719375e-07 -1.718960e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1834         	((6.054108e-07 1.105925e-05 2.368926e-25) (1.812761e-06 5.063526e-07 -5.728665e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.658887e-06 9.081162e-08 -2.562303e-06) (-7.595289e-08 2.719142e-07 -1.719051e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1835         	((6.022011e-07 1.102278e-05 2.356009e-25) (1.812607e-06 5.063612e-07 -5.692268e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.653417e-06 9.033017e-08 -2.564311e-06) (-7.595418e-08 2.718910e-07 -1.719135e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1836         	((5.994824e-07 1.099222e-05 2.345619e-25) (1.812454e-06 5.063739e-07 -5.660907e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.648833e-06 8.992236e-08 -2.565600e-06) (-7.595609e-08 2.718680e-07 -1.719207e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
