# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
37           	((-3.432802e-06 2.183149e-05 -3.652001e-26) (7.511097e-05 5.995361e-07 -2.451457e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.274724e-06 -5.149203e-07 -6.879794e-06) (-8.993041e-08 1.126665e-05 -3.876233e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((-3.938078e-06 1.901412e-05 -9.550107e-26) (7.359435e-05 5.725519e-07 -1.961565e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.852118e-06 -5.907117e-07 -6.845362e-06) (-8.588279e-08 1.103915e-05 -3.802429e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((-3.812407e-06 2.009841e-05 -5.990827e-26) (7.215268e-05 5.912278e-07 -1.993159e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.014762e-06 -5.718611e-07 -6.743253e-06) (-8.868416e-08 1.082290e-05 -3.729443e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((-3.400309e-06 2.311237e-05 8.798963e-27) (7.077576e-05 6.155298e-07 -2.367121e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.466855e-06 -5.100463e-07 -6.709977e-06) (-9.232947e-08 1.061636e-05 -3.657597e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
41           	((-3.194806e-06 2.497369e-05 3.768860e-26) (6.945060e-05 6.134580e-07 -2.663841e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.746054e-06 -4.792208e-07 -6.786128e-06) (-9.201870e-08 1.041759e-05 -3.588715e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((-3.383255e-06 2.420275e-05 2.147298e-27) (6.817087e-05 5.878955e-07 -2.620029e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.630412e-06 -5.074882e-07 -6.923679e-06) (-8.818433e-08 1.022563e-05 -3.523782e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((-3.695548e-06 2.234523e-05 -4.846661e-26) (6.693665e-05 5.632469e-07 -2.366415e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.351784e-06 -5.543321e-07 -7.001638e-06) (-8.448704e-08 1.004050e-05 -3.462111e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
44           	((-3.815937e-06 2.159387e-05 -5.994518e-26) (6.574861e-05 5.556568e-07 -2.196964e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.239081e-06 -5.723906e-07 -6.964860e-06) (-8.334852e-08 9.862292e-06 -3.402462e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((-3.680313e-06 2.258071e-05 -2.657746e-26) (6.460427e-05 5.606589e-07 -2.249562e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.387107e-06 -5.520469e-07 -6.870377e-06) (-8.409883e-08 9.690641e-06 -3.344270e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((-3.499849e-06 2.409173e-05 1.131953e-26) (6.349898e-05 5.638418e-07 -2.422273e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.613760e-06 -5.249774e-07 -6.829292e-06) (-8.457628e-08 9.524848e-06 -3.287851e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((-3.460481e-06 2.457332e-05 1.742659e-26) (6.242903e-05 5.573692e-07 -2.504168e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.685998e-06 -5.190721e-07 -6.858104e-06) (-8.360538e-08 9.364355e-06 -3.233701e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((-3.607100e-06 2.440282e-05 -3.550782e-27) (6.139303e-05 5.455114e-07 -2.514472e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.660423e-06 -5.410650e-07 -6.959587e-06) (-8.182672e-08 9.208955e-06 -3.181836e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((-3.723119e-06 2.396584e-05 -2.012968e-26) (6.039061e-05 5.352128e-07 -2.456566e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.594876e-06 -5.584679e-07 -7.000567e-06) (-8.028192e-08 9.058592e-06 -3.131945e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
